url,status,title,canonical,h1,final_url
https://www.brandops.site/linkedin-automation-tool-for-agencies,200,LinkedIn Automation Tool for Agencies | BrandOps,https://www.brandops.site/linkedin-automation-tool-for-agencies,"<h1 class=""mt-3 max-w-4xl text-balance text-4xl font-bold tracking-tight text-foreground sm:text-5xl lg:text-6xl"">LinkedIn automation tool for<!-- --> <span class=""bg-gradient-to-r from-primary via-ac",https://www.brandops.site/linkedin-automation-tool-for-agencies
https://www.brandops.site/ai-newsletter-generator-for-consultants,200,AI Newsletter Generator for Consultants | BrandOps,https://www.brandops.site/ai-newsletter-generator-for-consultants,"<h1 class=""mt-3 max-w-4xl text-balance text-4xl font-bold tracking-tight text-foreground sm:text-5xl lg:text-6xl"">AI newsletter generator for<!-- --> <span class=""bg-gradient-to-r from-primary via-acc",https://www.brandops.site/ai-newsletter-generator-for-consultants
https://www.brandops.site/brandops-vs-taplio,200,BrandOps vs Taplio: Which LinkedIn Tool is Right for You? | BrandOps,https://www.brandops.site/brandops-vs-taplio,"<h1 class=""mx-auto mt-3 max-w-4xl text-balance text-4xl font-bold tracking-tight text-foreground sm:text-5xl lg:text-6xl"">BrandOps vs Taplio:<!-- --> <span class=""bg-gradient-to-r from-primary via-acc",https://www.brandops.site/brandops-vs-taplio
https://www.brandops.site/brandops-vs-typefully,200,BrandOps vs Typefully: AI Content Workspace vs LinkedIn Scheduler | BrandOps,https://www.brandops.site/brandops-vs-typefully,"<h1 class=""mx-auto mt-3 max-w-4xl text-balance text-4xl font-bold tracking-tight text-foreground sm:text-5xl lg:text-6xl"">BrandOps vs Typefully:<!-- --> <span class=""bg-gradient-to-r from-primary via-",https://www.brandops.site/brandops-vs-typefully
https://www.brandops.site/brandops-vs-canva-linkedin,200,BrandOps vs Canva for LinkedIn Carousels: AI vs Design Tool | BrandOps,https://www.brandops.site/brandops-vs-canva-linkedin,"<h1 class=""mx-auto mt-3 max-w-4xl text-balance text-4xl font-bold tracking-tight text-foreground sm:text-5xl lg:text-6xl"">BrandOps vs Canva:<!-- --> <span class=""bg-gradient-to-r from-primary via-acce",https://www.brandops.site/brandops-vs-canva-linkedin
https://www.brandops.site/services,200,AI Consultancy Services | BrandOps,https://www.brandops.site/services,"<h1 class=""text-balance text-4xl font-bold tracking-tight text-foreground sm:text-5xl lg:text-6xl"">Practical AI Services for Visibility, Content, and Leads</h1>",https://www.brandops.site/services
https://www.brandops.site/services/linkedin-content,200,AI Content for LinkedIn &amp; Newsletter | BrandOps,https://www.brandops.site/services/linkedin-content,"<h1 class=""text-balance text-4xl font-bold tracking-tight text-foreground sm:text-5xl lg:text-7xl"">AI builds your content.<!-- --> <span class=""bg-gradient-to-r from-primary via-accent to-primary bg-c",https://www.brandops.site/services/linkedin-content
https://www.brandops.site/services/website-lead-magnets,200,Website Lead Magnets | BrandOps,https://www.brandops.site/services/website-lead-magnets,"<h1 class=""text-balance text-4xl font-bold tracking-tight text-foreground sm:text-5xl lg:text-6xl"">Website Lead Magnets That Turn Visitors Into Leads</h1>",https://www.brandops.site/services/website-lead-magnets
https://www.brandops.site/services/aeo-geo-visibility,200,AEO/GEO Visibility Card | BrandOps,https://www.brandops.site/services/aeo-geo-visibility,"<h1 class=""text-balance text-4xl font-bold tracking-tight text-foreground sm:text-5xl lg:text-6xl"">AEO/GEO Visibility Card</h1>",https://www.brandops.site/services/aeo-geo-visibility
https://www.brandops.site/services/youtube-research,200,YouTube Research &amp; Content Strategy | BrandOps,https://www.brandops.site/services/youtube-research,"<h1 class=""text-balance text-4xl font-bold tracking-tight text-foreground sm:text-5xl lg:text-6xl"">YouTube Research &amp; Content Strategy</h1>",https://www.brandops.site/services/youtube-research
https://www.brandops.site/resources,200,BrandOps Resources | Guides for Creators | BrandOps,https://www.brandops.site/resources,"<h1 class=""text-balance text-4xl font-bold tracking-tight text-foreground sm:text-5xl"">Build a citable personal<!-- --> <span class=""bg-gradient-to-r from-primary via-accent to-primary bg-clip-text te",https://www.brandops.site/resources
https://www.brandops.site/contact,200,Contact BrandOps | Content Workflow Help | BrandOps,https://www.brandops.site/contact,"<h1 class=""text-3xl font-bold tracking-tight text-foreground sm:text-4xl"">Get in touch</h1>",https://www.brandops.site/contact
https://www.brandops.site/about,200,About BrandOps | AI Content Workspace | BrandOps,https://www.brandops.site/about,"<h1 class=""text-balance text-4xl font-bold tracking-tight text-foreground sm:text-5xl"">AI builds your content.<!-- --> <span class=""bg-gradient-to-r from-primary via-accent to-primary bg-clip-text tex",https://www.brandops.site/about
https://www.brandops.site/pricing,200,BrandOps Pricing | Free and Operator Plans | BrandOps,https://www.brandops.site/pricing,"<h1 class=""text-3xl font-bold tracking-tight text-foreground sm:text-4xl lg:text-5xl"">Simple, operator-first pricing</h1>",https://www.brandops.site/pricing
https://www.brandops.site/privacy,200,Privacy Policy | How BrandOps Handles Your Data | BrandOps,https://www.brandops.site/privacy,"<h1 class=""text-3xl font-bold tracking-tight text-foreground sm:text-4xl"">Privacy Policy</h1>",https://www.brandops.site/privacy
https://www.brandops.site/terms,200,Terms of Service | BrandOps Content Platform Agreement | BrandOps,https://www.brandops.site/terms,"<h1 class=""text-3xl font-bold tracking-tight text-foreground sm:text-4xl"">Terms of Service</h1>",https://www.brandops.site/terms
